sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_E,101,BF3,2,46058688dff6ad0c446936715da0b6d461d66ff4,13,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,57f93ec05f3192f667645192b0cab92062bf5414,12,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,afc95c4fb5e4a9a9aec7b140b40a156ef45c4617,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,4f61e33a32c46d7f81d526f66acfe3e088d196a6,4,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,fc127fcfc249e1ae3bf9d34034d47799adeaa313,11,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
MC_E,101,BF3,2,e0254b419ae70e17fc3a775368743fa8773609c4,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,101,BF3,2,60a76d41f52cd47e97e8b91e91e4d5fbb0e9ea0a,11,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,3e0a10a08f764dac7bb16b08e6f93f1970da98ef,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,101,BF3,2,64fe5df1a753a1943a1d223850fb58e1e744f979,7,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,3
MC_E,101,BF3,2,7310f889db9a784f1f4f6753a1504bf9028707f4,5,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,101,BF3,2,7fcff8917a02bc2d173b48e49071374819352242,4,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,101,BF3,2,4589640b3d40a4c7da1681cad5af7f84d288d1ee,4,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_E,101,BF3,2,1f86aeb06d0a4ab9f0a3628529a09e8b05f62922,4,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,5cc5bda34a61687ff23dd35422f3f67055889af9,7594,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,102,BF3,3,fa07c137c879896a4b3550b677aac7c27dd4f250,4272,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,102,BF3,3,fd21a4a69e41031e050b80c96a578a2b0e1575ad,7827,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,102,BF3,3,41384eb53ebdac9ad36e75109961bdacfada2509,3896,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_E,102,BF3,3,35bcbb88b7a1827e9131054759e25603a6ef1e4b,3588,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_E,102,BF3,3,fdc80ae5c5d103b2e88889628d1e88288fe07089,2918,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_E,102,BF3,3,7e7ae42efc9e7b56783c47f09c146656a8e3d3fc,776,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,3
MC_E,102,BF3,3,5912de453e37344840868fe7776e6f84659742f2,460,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,3
MC_E,102,BF3,3,be852773dcb909015503058be361a92ce69848bd,223,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
