MiSeqRun,Sample_name,sample_id,Hash,nReads
4,1,WACO21-639-a,76448fdaac0c093911cd1bd1090fa419899fa78a,46
4,1,WACO21-639-a,0d4b754003cecedab05ad9464562db8e0ae9dacb,47
4,1,WACO21-639-a,9e221767441f1da6bcfd3c7067704bbaa14569ab,18
4,1,WACO21-639-a,92d8d28b917a6e2d05d11ccb940727b318ef46ac,16
4,1,WACO21-639-a,795d07a8b91d90f001a35f15b31ae40a83750198,24
4,1,WACO21-639-a,c0220de8376937df56552b5def34a2c592966ebe,40
4,1,WACO21-639-a,7b402c3e11579e1d8d2192b212f6f9a9ccb1a746,40
4,1,WACO21-639-a,45d9ffaec286856c7b526d994954d061ac5dacd2,24
4,1,WACO21-639-a,fe5548a5f358b76d10ed0189f088aa176eff3147,34
4,1,WACO21-639-a,3f35e309f7dddc56b7950dc44419ea333ba233a7,34
4,1,WACO21-639-a,e6a3d1840099a82722860da61f22e20cd4ccb8e5,33
4,1,WACO21-639-a,128395507c2ddbcd41091eec57c1a48f12a53336,28
4,1,WACO21-639-a,fbfe84a37ac33e3621cc9f6dd081958dc149c0c0,9
4,1,WACO21-639-a,661f4aa4aaf9280e6971a193b506630204a948a3,31
4,1,WACO21-639-a,a3c6e93358bd4878902f952c4e78cc8e0f10ac48,12
4,1,WACO21-639-a,40169c36cf4a27073b4f1d2c4857c9ddf8e58670,30
4,1,WACO21-639-a,464cd493b870d5e6f4046d19a07a460a41b94ad3,29
4,1,WACO21-639-a,9363a0c3bcd7cd27198483d4bbe32f59b7f3e252,29
4,1,WACO21-639-a,0018a0b259f704410556072aba89024fb86c841d,27
4,1,WACO21-639-a,574bf21a9722e33814053b480a7d1c85c8f00276,26
4,1,WACO21-639-a,d02c0beca613d40148fc7caf649c2ce5cbda0cdb,26
4,1,WACO21-639-a,8535b9825ced4a10554558b0f9b49000f90728c9,9
4,1,WACO21-639-a,d0f0d5bf9f321c17b14ce92f1c0c175001193494,25
4,1,WACO21-639-a,dd1ee2fa5a6618a7e2f40379289bb653e04f47f1,25
