EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.521,WACO21-521,9/7/2021,Willapa,Nahcotta,60,Female
WACO.2021.522,WACO21-522,9/7/2021,Willapa,Nahcotta,45,Female
WACO.2021.523,WACO21-523,9/7/2021,Willapa,Nahcotta,56,Male
WACO.2021.524,WACO21-524,9/7/2021,Willapa,Nahcotta,60,Female
WACO.2021.525,WACO21-525,9/7/2021,Willapa,Nahcotta,59,Male
WACO.2021.526,WACO21-526,9/7/2021,Willapa,Nahcotta,63,Male
WACO.2021.527,WACO21-527,9/7/2021,Willapa,Nahcotta,58,Female
WACO.2021.528,WACO21-528,9/7/2021,Willapa,Nahcotta,67,Female
WACO.2021.529,WACO21-529,9/7/2021,Willapa,Nahcotta,56,Female
WACO.2021.530,WACO21-530,9/7/2021,Willapa,Nahcotta,57,Male
WACO.2021.531,WACO21-531,9/7/2021,Willapa,Nahcotta,60,Male
WACO.2021.532,WACO21-532,9/7/2021,Willapa,Nahcotta,59,Male
WACO.2021.533,WACO21-533,9/7/2021,Willapa,Nahcotta,56,Female
WACO.2021.534,WACO21-534,9/7/2021,Willapa,Nahcotta,57,Female
WACO.2021.535,WACO21-535,9/7/2021,Willapa,Nahcotta,57,Male
WACO.2021.536,WACO21-536,9/7/2021,Willapa,Nahcotta,57,Female
WACO.2021.537,WACO21-537,9/7/2021,Willapa,Nahcotta,56,Male
WACO.2021.538,WACO21-538,9/7/2021,Willapa,Nahcotta,66,Male
WACO.2021.539,WACO21-539,9/7/2021,Willapa,Nahcotta,62,Male
WACO.2021.540,WACO21-540,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.541,WACO21-541,9/7/2021,Willapa,Nahcotta,58,Male
WACO.2021.542,WACO21-542,9/7/2021,Willapa,Nahcotta,60,Male
WACO.2021.543,WACO21-543,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.544,WACO21-544,9/7/2021,Willapa,Nahcotta,64,Female
WACO.2021.545,WACO21-545,9/7/2021,Willapa,Nahcotta,64,Male
WACO.2021.546,WACO21-546,9/7/2021,Willapa,Nahcotta,59,Male
WACO.2021.547,WACO21-547,9/7/2021,Willapa,Nahcotta,75,Male
WACO.2021.548,WACO21-548,9/7/2021,Willapa,Nahcotta,62,Female
WACO.2021.549,WACO21-549,9/7/2021,Willapa,Nahcotta,61,Male
WACO.2021.550,WACO21-550,9/7/2021,Willapa,Nahcotta,57,Female
WACO.2021.551,WACO21-551,9/7/2021,Willapa,Nahcotta,65,Female
WACO.2021.552,WACO21-552,9/7/2021,Willapa,Nahcotta,49,Male
WACO.2021.553,WACO21-553,9/7/2021,Willapa,Nahcotta,43,Female
WACO.2021.554,WACO21-554,9/7/2021,Willapa,Nahcotta,60,Male
WACO.2021.555,WACO21-555,9/7/2021,Willapa,Nahcotta,62,Female
WACO.2021.556,WACO21-556,9/7/2021,Willapa,Nahcotta,57,Female
WACO.2021.557,WACO21-557,9/7/2021,Willapa,Nahcotta,51,Female
WACO.2021.558,WACO21-558,9/7/2021,Willapa,Nahcotta,60,Female
WACO.2021.559,WACO21-559,9/7/2021,Willapa,Nahcotta,77,Male
WACO.2021.560,WACO21-560,9/7/2021,Willapa,Nahcotta,61,Female
WACO.2021.561,WACO21-561,9/7/2021,Willapa,Nahcotta,49,Male
WACO.2021.562,WACO21-562,9/7/2021,Willapa,Nahcotta,51,Male
WACO.2021.563,WACO21-563,9/7/2021,Willapa,Nahcotta,84,Male
WACO.2021.564,WACO21-564,9/7/2021,Willapa,Nahcotta,69,Male
